O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,F,F,F,F,F,F,F,F,F,F,F,F,O,O,O,O,O
O,O,O,F,F,F,W,W,W,W,W,W,W,W,W,O,O,O,O,O
O,O,O,W,W,W,W,F,F,F,F,C,W,W,W,O,O,O,O,O
O,O,O,F,F,F,F,F,F,F,F,F,W,W,W,O,O,O,O,O
O,O,O,F,W,W,W,W,W,W,F,F,W,W,W,O,O,O,O,O
O,O,O,F,F,F,F,F,F,W,F,F,F,F,W,O,O,O,O,O
O,O,O,W,W,F,W,F,F,F,F,W,F,F,W,O,O,O,O,O
O,O,O,F,F,F,W,W,W,W,F,W,F,F,W,O,O,O,O,O
O,O,O,F,W,F,F,F,F,W,F,W,F,F,W,O,O,O,O,O
O,O,O,F,W,F,F,W,F,W,F,W,W,F,W,O,O,O,O,O
O,O,O,F,W,F,W,W,K,W,F,F,F,F,F,O,O,O,O,O
O,O,O,F,F,F,F,F,D,F,F,F,W,W,W,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
