O,O,O,O,W,W,W,W,W,W,W,W,W,W,W,O,O,O,O,O
O,C,C,O,W,W,F,F,F,F,F,F,F,F,W,O,O,O,O,O
O,C,C,O,W,W,F,W,W,W,W,W,W,F,W,O,O,O,O,O
O,C,C,O,W,W,F,W,W,F,F,F,W,F,W,O,O,O,O,O
O,C,C,O,W,W,D,H,W,F,H,S,W,F,W,W,W,W,W,O
O,C,C,O,W,W,S,S,X,F,H,X,W,F,W,W,W,W,W,O
O,C,C,O,W,W,H,X,W,W,X,S,W,F,X,F,F,W,W,O
O,O,O,O,W,W,X,S,W,W,S,X,W,F,X,F,S,W,W,O
W,W,W,W,W,W,S,S,W,W,X,S,W,F,W,X,F,W,W,O
W,W,W,W,W,W,X,X,W,W,F,F,W,F,W,F,X,W,W,O
W,W,F,F,F,F,S,H,W,W,P,K,W,F,W,S,F,W,W,O
W,W,F,W,W,W,W,W,W,W,W,W,W,F,W,F,F,W,W,O
W,W,F,W,F,F,S,S,S,F,F,F,F,F,W,X,F,W,W,O
W,W,F,F,F,F,S,H,C,F,F,F,F,F,W,F,X,W,W,O
W,W,F,W,W,W,W,W,W,W,W,W,W,W,W,F,F,W,W,O
W,W,F,H,S,F,S,F,S,F,F,F,S,S,X,H,F,W,W,O
W,W,F,F,F,H,H,H,H,F,H,F,F,F,F,H,F,W,W,O
W,W,F,H,X,F,X,F,X,F,F,H,H,H,F,F,F,W,W,O
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,O
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,O
