O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,F,F,W,W,W,W,W,W,W,K,W,W,W,W,W,W,W,F,O
O,F,F,W,F,F,F,F,F,S,F,S,F,F,F,F,F,W,F,O
O,F,F,W,F,W,W,W,W,W,H,W,W,W,W,W,F,W,F,O
O,F,F,W,F,W,F,F,F,W,F,W,F,F,F,W,F,W,F,O
O,F,F,W,F,W,F,W,F,W,F,W,F,W,F,W,F,W,F,O
O,F,F,W,F,W,F,W,F,W,F,W,F,W,F,W,F,W,F,O
O,F,F,W,F,W,F,W,F,F,F,F,F,W,F,W,F,W,F,O
O,F,F,W,F,W,F,W,F,F,F,F,F,W,F,W,F,W,F,O
O,F,F,W,C,W,X,W,S,W,W,W,S,W,X,W,C,W,F,O
O,F,F,W,F,W,F,W,F,W,P,W,F,W,F,W,F,W,F,O
O,F,F,W,F,W,F,W,F,W,F,W,F,W,F,W,F,W,F,O
O,F,F,W,F,W,F,W,F,F,F,F,F,W,F,W,F,W,F,O
O,F,F,W,F,W,F,W,W,W,W,W,W,W,F,W,F,W,F,O
O,F,F,W,F,W,F,H,F,F,F,F,F,H,F,W,F,W,F,O
O,F,F,W,F,W,F,H,F,F,F,F,F,H,F,W,F,W,F,O
O,F,F,W,F,S,F,F,F,F,F,F,F,F,F,S,F,W,F,O
O,F,F,W,F,S,F,F,F,H,S,H,F,F,F,S,F,W,F,O
O,F,F,W,W,W,W,W,W,W,D,W,W,W,W,W,W,W,F,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
